{'sample_size': 120, 'difference': -26, 'noise': 0, 'n': 12, 'shap_error': 0.0014930009561870247, 'weighted_error': 3.185328386643757}
{'sample_size': 120, 'difference': -14, 'noise': 0, 'n': 12, 'shap_error': 0.0006931509898177043, 'weighted_error': 1.3909451057739057}
{'sample_size': 120, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': 0.0003638216942384625, 'weighted_error': 1.71285609571409}
{'sample_size': 120, 'difference': -18, 'noise': 0, 'n': 12, 'shap_error': 9.002497278188983e-05, 'weighted_error': 2.6355729244083066}
{'sample_size': 120, 'difference': 8, 'noise': 0, 'n': 12, 'shap_error': 0.002285684482266293, 'weighted_error': 2.3111912392011713}
{'sample_size': 120, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.00015280739117466102, 'weighted_error': 1.4786150039748602}
{'sample_size': 120, 'difference': 12, 'noise': 0, 'n': 12, 'shap_error': 0.0018104518320983176, 'weighted_error': 2.8510104953916344}
{'sample_size': 120, 'difference': 6, 'noise': 0, 'n': 12, 'shap_error': 0.0002527328799380454, 'weighted_error': 2.538208307422954}
{'sample_size': 120, 'difference': 6, 'noise': 0, 'n': 12, 'shap_error': 0.0021588641800480055, 'weighted_error': 3.6501555399037713}
{'sample_size': 120, 'difference': 10, 'noise': 0, 'n': 12, 'shap_error': 0.010309442175665472, 'weighted_error': 1.8373331664586947}
{'sample_size': 120, 'difference': 4, 'noise': 0, 'n': 12, 'shap_error': 0.00783893896458831, 'weighted_error': 4.0396715365555}
{'sample_size': 120, 'difference': -8, 'noise': 0, 'n': 12, 'shap_error': 0.0019544234597809506, 'weighted_error': 1.3710419642885971}
{'sample_size': 120, 'difference': 10, 'noise': 0, 'n': 12, 'shap_error': 0.0022498122932751953, 'weighted_error': 2.310629357134057}
{'sample_size': 120, 'difference': -16, 'noise': 0, 'n': 12, 'shap_error': 9.263651639102167e-05, 'weighted_error': 1.1543516408925951}
{'sample_size': 120, 'difference': 8, 'noise': 0, 'n': 12, 'shap_error': 0.00012133032922641069, 'weighted_error': 2.387987590705065}
{'sample_size': 120, 'difference': -8, 'noise': 0, 'n': 12, 'shap_error': 0.0035549079617317753, 'weighted_error': 1.7416003610819046}
{'sample_size': 120, 'difference': 14, 'noise': 0, 'n': 12, 'shap_error': 1.5247541671434665e-05, 'weighted_error': 2.606030691746844}
{'sample_size': 120, 'difference': 18, 'noise': 0, 'n': 12, 'shap_error': 0.005434989291329249, 'weighted_error': 11.122214661026874}
{'sample_size': 120, 'difference': 14, 'noise': 0, 'n': 12, 'shap_error': 0.00010267005581047231, 'weighted_error': 1.4523040144075374}
{'sample_size': 120, 'difference': 2, 'noise': 0, 'n': 12, 'shap_error': 0.0002608948848274177, 'weighted_error': 1.6476009976903212}
{'sample_size': 120, 'difference': 2, 'noise': 0, 'n': 12, 'shap_error': 1.0697045080651881e-05, 'weighted_error': 1.2259102137563398}
{'sample_size': 120, 'difference': -8, 'noise': 0, 'n': 12, 'shap_error': 0.0010277091799541927, 'weighted_error': 4.709090466460878}
{'sample_size': 120, 'difference': 4, 'noise': 0, 'n': 12, 'shap_error': 4.961425630480329e-06, 'weighted_error': 1.0546328219123469}
{'sample_size': 120, 'difference': 10, 'noise': 0, 'n': 12, 'shap_error': 0.001437751528742698, 'weighted_error': 3.6071911697776153}
