{'sample_size': 1000, 'noise': 0.001, 'shap_error': 6.278148323918453e-08, 'weighted_error': 1.0000011058407448, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 1.5685335348916523e-06, 'weighted_error': 1.00002764605289, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 6.2736327902241386e-06, 'weighted_error': 1.000110584215351, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.00015683079446354782, 'weighted_error': 1.002764605406209, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.0006273181656318689, 'weighted_error': 1.0110584216227076, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.015682853898044982, 'weighted_error': 1.2764605404717275, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.06273136547122779, 'weighted_error': 2.1058421618255823, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.6360087715223328e-13, 'weighted_error': 0.9999999999881936, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 2.9058430684271582e-08, 'weighted_error': 1.0000014188554278, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 1.1623416199939505e-07, 'weighted_error': 1.0000056756367834, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 2.9058687248598223e-06, 'weighted_error': 1.0001418947959968, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 1.1623483709284167e-05, 'weighted_error': 1.000567581015934, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.00029058727481865885, 'weighted_error': 1.01418956161227, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.0011623491917903215, 'weighted_error': 1.0567582644497768, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.029058731650961227, 'weighted_error': 2.4189569708333143, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.11623492753341894, 'weighted_error': 6.675828063021444, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 3.1721604151912287e-14, 'weighted_error': 0.9999999999998611, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 3.1404145880538366e-08, 'weighted_error': 1.0000000627891428, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 1.2558785625420587e-07, 'weighted_error': 1.0000002511461346, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 3.1391230029748366e-06, 'weighted_error': 1.0000062784396146, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 1.2556205595702992e-05, 'weighted_error': 1.0000251136503369, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.00031389941271061923, 'weighted_error': 1.000627839090986, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.0012555947875369981, 'weighted_error': 1.0025113552789753, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.03138981242345734, 'weighted_error': 1.0627838602700046, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.12555922106163117, 'weighted_error': 1.2511354302265791, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0, 'shap_error': 6.197666723851893e-14, 'weighted_error': 0.999999999999789, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 8.81356981539754e-09, 'weighted_error': 1.0000000165300071, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 3.531451388896291e-08, 'weighted_error': 1.0000000661310953, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 8.840697709302085e-07, 'weighted_error': 1.0000016534911076, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 3.536883103364398e-06, 'weighted_error': 1.0000066140693937, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 8.843416020810873e-05, 'weighted_error': 1.000165353826525, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.0003537426827022286, 'weighted_error': 1.0006614163500438, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.00884368790718286, 'weighted_error': 1.0165354296223608, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.035374812049102776, 'weighted_error': 1.066141728923178, 'gamma': 1.3}
{'sample_size': 1000, 'noise': 0, 'shap_error': 2.3139509254336073e-14, 'weighted_error': 0.9999999999996586, 'gamma': 1.2}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 1.659330960348864e-08, 'weighted_error': 1.0000001423563034, 'gamma': 1.2}
