{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0001908419230516854, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0007179156621273}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.00022095354523494953, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0008287700482688}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 8.586860748652007e-05, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0003218201209807}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.2363292046962424e-05, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0000461649170627}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.94828969843296e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.2664085500134877e-22}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.94828969837683e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 2.714983751757823e-23}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.948289698390907e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 3.871041349280508e-23}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.948289698367504e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 8.144951255273468e-23}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.948289698362753e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 2.644919654938266e-23}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.9482896984282085e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 6.148124495916102e-23}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6608584619803325e-13, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 0.9999999994294904}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6608584585696311e-13, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 0.9999999994294905}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.660858459783976e-13, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 0.9999999994294904}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6608584650339388e-13, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 0.9999999994294905}
