{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.00016113792547014908, 'weighted_error': 1.0012185430693916, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0007021185007768662, 'weighted_error': 1.0089201297713135, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.016707970335587546, 'weighted_error': 1.1636181569675739, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.060686391018328914, 'weighted_error': 1.2225739045838924, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.8266623929199237e-05, 'weighted_error': 1.0005921215996731, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 1.6531429103855982e-05, 'weighted_error': 1.0003461510695943, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 2.7510163585803763e-05, 'weighted_error': 1.0005755887261258, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 1.3320102632422016e-05, 'weighted_error': 1.000261790196967, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 2.4338073919605784e-05, 'weighted_error': 1.000440863632772, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.00014351489546684122, 'weighted_error': 1.0012827464070397, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.000398233208957187, 'weighted_error': 1.0014477182844868, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.009385242657322462, 'weighted_error': 1.0242426039086532, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.0395176875381172, 'weighted_error': 1.1383795654893003, 'gamma': 0.044}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00030144228292914855, 'weighted_error': 1.0003494651875198, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00010613773474904949, 'weighted_error': 1.0001230469714726, 'gamma': 0.054}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.19419641254965e-05, 'weighted_error': 1.000037030075456, 'gamma': 0.054}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00011954585394192398, 'weighted_error': 1.0001385950836919, 'gamma': 0.054}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.538167671912064e-05, 'weighted_error': 1.0000410171874377, 'gamma': 0.054}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.7382379161755735e-05, 'weighted_error': 1.0000201530304564, 'gamma': 0.054}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.247667299036171e-05, 'weighted_error': 1.0001624663315505, 'gamma': 0.035}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.264955964223622e-06, 'weighted_error': 1.000035438444077, 'gamma': 0.035}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.23889976830208e-06, 'weighted_error': 1.0000353366586654, 'gamma': 0.035}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.4798164688296776e-06, 'weighted_error': 1.0000094838489217, 'gamma': 0.035}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.4008873350321193e-07, 'weighted_error': 1.000001300790674, 'gamma': 0.035}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.2219213085184548e-06, 'weighted_error': 1.0000046743094533, 'gamma': 0.035}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.396289021968551e-05, 'weighted_error': 1.0001359800867884, 'gamma': 0.05}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.913380605042042e-06, 'weighted_error': 1.0000868176575073, 'gamma': 0.05}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.2629430852696846e-06, 'weighted_error': 1.0000122967683622, 'gamma': 0.05}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.4797077862793867e-06, 'weighted_error': 1.0000144120409702, 'gamma': 0.05}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.919853117150348e-08, 'weighted_error': 1.0000009668100922, 'gamma': 0.05}
