{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.1312893308474486)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.14155520693517046)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.13020940958176788)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.10711112761118319)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0665534049163358)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.06675571232534899)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.062475040501033786)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.06679808316947974)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.07004764375013003)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6120024873409906)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6183965007176788)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.7455463838854658)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6101186526218457)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6649261944401147)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6164600232658266)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.7211546555966557)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6222236701331587)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.7971668666558284)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6854594100575773)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.7212358206324629)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.7363290466715284)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.09108981736013354)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.06627696924629634)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.06111556830985089)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05168778763757621)}
